tapped_wt,pouring_wt,last_heel_metal,lcrca_addition_1,sg_pigaddition_1,sg_pigaddition_2,rr,graphite,silicon_addition_1,silicon_addition_2,mn,low_re_fsm,zero_re_fsm,high_re_fsm,ultraseed,superseed,cs,al,preseed,tapping_temp,pouring_temp,pouring_time_sec,fsm,barinoc,reseed,sb,bath_s,crca,sg_pig,sorel_total,sorel_addition,rr_1,heel,ce,c,si,mn_1,p,s,cr,ni,al_1,cu,co,nb,ti,v,w,pb,sn,as,zr,ce_1,sb_1,b,zn,n,fe,fsmaddition_mt,mg_recovery,defect,feat_ce_calculated,feat_ce_hypo_risk,feat_ce_hyper_risk,feat_ce_optimal,feat_temp_loss,feat_temp_loss_risk,feat_temp_loss_low,feat_pouring_stability,feat_pouring_risk,feat_oxidation_risk,feat_graphitization_index,feat_white_iron_risk,feat_shrinkage_risk_index,feat_gas_risk_index,feat_chemistry_instability,feat_chemistry_ok,cluster,dbscan_cluster,pca_pc1,pca_pc2,anomaly_score,iso_flag,lof_flag,anomaly_flag,anomaly_severity,anomaly_level
5.2,5.2,0.0,2040.0,860.0,0.0,2300.0,85.0,68.0,2.0,0.0,27.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,1438.0,1371.0,90.0,1.04,0.423,0.0,0.7350000000000001,0.024,39.0,17.0,0.0,0.0,44.0,0.0,4.3,3.64,2.56,0.219,0.036,0.0102,0.0126,0.0066,0.01,0.112,0.0024,0.00031,0.0189,0.0043,0.0017,0.0016,0.002,0.0028,0.0031,0.0022,0.0031,0.00079,0.00069,0.005,93.3,10.38,0.0039,1,4.3,0,0,1,67.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1,1,-1,0.4708205817728694,0.0822838292006801,0.12871416825842064,0,0,0,NORMAL,0
15.5,15.0,0.0,6230.0,4110.0,0.0,1900.0,163.0,222.0,28.0,0.0,90.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1452.0,1380.0,133.0,1.16,0.4,0.0,0.7350000000000001,0.016,40.0,38.0,0.0,0.0,16.0,0.0,4.2,3.2,3.93,0.159,0.0314,0.0066,0.0125,0.0066,0.0131,0.0244,0.0022,0.00053,0.0258,0.0048,0.0049,0.0013,0.0028,0.0010999999999999,0.0018,0.002,0.0031,0.00099,0.0012,0.0045,92.5,11.61,0.0032,1,4.2,0,0,1,72.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1,2,-1,2.5393826046879733,8.874475950638155,0.4227089228318529,1,1,1,MEDIUM RISK,2
3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,17.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,1471.0,1392.0,52.0,1.13,0.4,0.0,0.7350000000000001,0.022,30.0,0.0,200.0,6.0,0.0,0.0,4.2,3.67,2.04,0.154,0.0345,0.0114,0.0134,0.0078,0.007,0.0181,0.0022,0.0013,0.0172,0.0048,0.0018,0.0017,0.0018,0.0025,0.0012,0.0022,0.0031,0.00065,0.00046,0.0044,94.0,11.33,0.0033,1,4.2,0,0,1,79.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1,1,-1,-1.4115858578767582,0.3760052713128184,0.280952038994506,1,1,1,LOW RISK,1
3.8,3.5,0.0,0.0,640.0,0.0,850.0,65.0,10.0,0.0,0.0,42.0,0.0,0.0,5.2,0.0,0.0,0.0,4.0,1442.0,1369.0,71.0,1.11,0.395,0.0,0.7350000000000001,0.025,42.0,17.0,0.0,0.0,42.0,0.0,4.15,3.62,2.03,0.188,0.0386,0.0114,0.0176,0.0098,0.0074,0.4095,0.0027,0.0027,0.0279,0.0053,0.0026,0.0017,0.002,0.0029,0.0013,0.0037,0.0031,0.00063,0.006,0.0043,93.3,11.05,0.0036,1,4.15,1,0,0,73.0,0,0,0,0,0.0,0.0,0,1.5,0.0,0.0,1,1,2,-2.533104602523663,-1.506619569752439,0.19567172394732257,0,1,1,NORMAL,0
9.5,9.1,0.0,3840.0,2040.0,0.0,3620.0,180.0,85.0,0.0,0.0,86.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,1435.0,1367.0,151.0,0.91,0.4,0.0,0.7350000000000001,0.015,40.0,21.0,0.0,0.0,38.0,0.0,4.2,3.67,2.05,0.17,0.0395,0.0114,0.0144,0.0075,0.0138,0.4095,0.0027,0.0018,0.0259,0.0041,0.0017,0.0015,0.0018,0.003,0.0047,0.0031,0.0031,0.00053,0.0031,0.0042,93.3,9.05,0.0037,1,4.2,0,0,1,68.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1,1,-1,2.6194245466311576,0.3400560045747236,0.2578059287576482,1,1,1,LOW RISK,1
6.2,6.2,0.0,2440.0,1340.0,0.0,2420.0,115.0,45.0,0.0,0.0,57.0,0.0,0.0,9.0,0.0,0.0,0.0,10.0,1430.0,1372.0,115.0,0.92,0.387,0.0,0.7350000000000001,0.0125,39.0,22.0,0.0,0.0,39.0,0.0,4.24,3.68,2.18,0.163,0.0373,0.0111,0.0133,0.0079,0.0107,0.0537,0.0024,0.00021,0.0179,0.0042,0.0021,0.0018,0.0021,0.003,0.0044,0.0038,0.0031,0.00058,0.0016,0.0042,93.7,9.19,0.0035,1,4.24,0,0,1,58.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1,1,-1,1.5230340363938415,-0.2800328377211472,0.15254871952445806,0,0,0,NORMAL,0
3.9,3.8,0.0,1540.0,730.0,0.0,1430.0,65.0,15.0,28.0,0.0,20.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,1435.0,1370.0,61.0,1.05,0.41,0.0,0.7350000000000001,0.025,39.0,19.0,0.0,0.0,37.0,0.0,4.24,3.56,2.64,0.227,0.0396,0.0102,0.0142,0.0075,0.0104,0.121,0.0026,0.00094,0.0223,0.0047,0.0019,0.0015,0.0021,0.0032,0.0032,0.0021,0.0031,0.0006,0.0031,0.0028,93.3,10.51,0.0038,1,4.24,0,0,1,65.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1,1,-1,-0.8924782345214803,0.1264759273277526,0.17101079735271144,0,1,1,NORMAL,0
3.8,3.8,0.0,1600.0,740.0,0.0,930.0,65.0,17.0,0.0,0.0,17.0,0.0,0.0,5.6,0.0,0.0,0.0,4.0,1438.0,1372.0,75.0,0.89,0.395,0.0,0.7350000000000001,0.013,40.0,19.0,0.0,0.0,37.0,0.0,4.25,3.58,2.62,0.222,0.0366,0.0085,0.0169,0.009,0.0086,0.133,0.0027,0.00027,0.0232,0.0069,0.0024,0.0016,0.0022,0.0029,0.003,0.002,0.0031,0.00085,0.0011,0.00041,93.3,8.95,0.0038,1,4.25,0,0,1,66.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1,1,-1,-1.4517623070482968,0.4928945431492103,0.14534927335899203,0,0,0,NORMAL,0
10.3,9.9,0.0,4320.0,1970.0,0.0,3270.0,200.0,60.0,0.0,0.0,91.0,0.0,0.0,16.0,0.0,0.0,0.0,10.0,1440.0,1373.0,151.0,0.88,0.398,0.0,0.7350000000000001,0.009,42.0,19.0,440.0,4.0,32.0,0.0,4.28,3.75,2.03,0.156,0.0356,0.0066,0.0126,0.0069,0.0097,0.0104,0.0023,0.00087,0.0177,0.0036,0.0018,0.0017,0.0017,0.0022,0.003,0.0029,0.0031,0.0007,0.00084,0.0033,93.9,8.83,0.0037,1,4.28,0,0,1,67.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1,0,-1,4.235171332852309,1.4337714895051206,0.18659419865640042,0,1,1,NORMAL,0
3.8,3.5,0.0,1560.0,760.0,0.0,1480.0,65.0,20.0,1.0,0.0,37.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1443.0,1369.0,65.0,0.97,0.395,0.0,0.7350000000000001,0.017,41.0,20.0,0.0,0.0,39.0,0.0,4.11,3.57,2.07,0.184,0.0355,0.0117,0.0169,0.0085,0.0067,0.4095,0.0024,0.00042,0.0192,0.0063,0.0024,0.0018,0.0019,0.0032,0.0014,0.0035,0.0031,0.00079,0.0033,0.0048,93.3,9.74,0.0035,1,4.11,1,0,0,74.0,0,0,0,0,0.0,0.0,0,1.5,0.0,0.0,1,1,3,-2.7974749933956207,-1.2908109275158832,0.14452004642427593,0,0,0,NORMAL,0
